source,destination,service_type,fare
A R C,BDYNG,Bengaluru Sarige,30
A R C,belc1,Bengaluru Sarige,24
A R C,BGLG,Bengaluru Sarige,24
A R C,BGSCLG,Bengaluru Sarige,30
A R C,BLGC1,Bengaluru Sarige,24
A R C,BLJJ1,Bengaluru Sarige,30
A R C,BMHN,Bengaluru Sarige,33
A R C,BNML1,Bengaluru Sarige,28
A R C,BPIS,Bengaluru Sarige,30
A R C,BRHC1,Bengaluru Sarige,33
A R C,BVPB,Bengaluru Sarige,33
A R C,CKB1,Bengaluru Sarige,28
A R C,CKBRS1,Bengaluru Sarige,28
A R C,CKMDC,Bengaluru Sarige,30
A R C,CKTND2,Bengaluru Sarige,30
A R C,CMDSLY,Bengaluru Sarige,24
A R C,CNB,Bengaluru Sarige,28
A R C,CNP11,Bengaluru Sarige,28
A R C,CNTRL,Bengaluru Sarige,6
A R C,CPRIQ1,Bengaluru Sarige,23
A R C,D45G,Bengaluru Sarige,28
A R C,DDKNLI3,Bengaluru Sarige,30
A R C,DDS1,Bengaluru Sarige,30
A R C,DHC1,Bengaluru Sarige,30
A R C,DODBM,Bengaluru Sarige,24
A R C,DODBMA,Bengaluru Sarige,24
A R C,DRKN,Bengaluru Sarige,28
A R C,DRMNT,Bengaluru Sarige,30
A R C,DRPRY,Bengaluru Sarige,28
A R C,DVSC,Bengaluru Sarige,23
A R C,ECHLM,Bengaluru Sarige,28
A R C,GDHC1,Bengaluru Sarige,30
A R C,GKL1,Bengaluru Sarige,23
A R C,GNDH1,Bengaluru Sarige,35
A R C,GNPLYH,Bengaluru Sarige,30
A R C,GPL1,Bengaluru Sarige,30
A R C,GRDPC,Bengaluru Sarige,28
A R C,GRH,Bengaluru Sarige,32
A R C,GRVCROSS,Bengaluru Sarige,30
A R C,GUHL,Bengaluru Sarige,30
A R C,HCKH,Bengaluru Sarige,30
A R C,HCP1,Bengaluru Sarige,30
A R C,HDP,Bengaluru Sarige,30
A R C,HGP7,Bengaluru Sarige,35
A R C,HGT1,Bengaluru Sarige,30
A R C,HGVTB,Bengaluru Sarige,30
A R C,HNDGT,Bengaluru Sarige,32
A R C,HSKC,Bengaluru Sarige,30
A R C,HSRTB1,Bengaluru Sarige,33
A R C,HUNSEGHT,Bengaluru Sarige,30
A R C,ITIL2,Bengaluru Sarige,23
A R C,JKNHC1,Bengaluru Sarige,33
A R C,JLCR1,Bengaluru Sarige,24
A R C,JNPT,Bengaluru Sarige,28
A R C,JOTR1,Bengaluru Sarige,30
A R C,KBDF,Bengaluru Sarige,33
A R C,KBS1,Bengaluru Sarige,6
A R C,KLD,Bengaluru Sarige,30
A R C,KLG1,Bengaluru Sarige,35
A R C,KLKAT,Bengaluru Sarige,28
A R C,KMBRH1,Bengaluru Sarige,30
A R C,KMBRH2,Bengaluru Sarige,30
A R C,KMNR,Bengaluru Sarige,30
A R C,KNG12,Bengaluru Sarige,30
A R C,KNGHL,Bengaluru Sarige,30
A R C,KRKD1,Bengaluru Sarige,35
A R C,KRSR1,Bengaluru Sarige,33
A R C,KVPC1,Bengaluru Sarige,23
A R C,LAMACH,Bengaluru Sarige,28
A R C,LKSMP2,Bengaluru Sarige,28
A R C,LLVTET,Bengaluru Sarige,32
A R C,LVNKTL,Bengaluru Sarige,28
A R C,MBVDC2,Bengaluru Sarige,30
A R C,MKLGH,Bengaluru Sarige,30
A R C,MNPR1,Bengaluru Sarige,33
A R C,NCF1,Bengaluru Sarige,30
A R C,NES1,Bengaluru Sarige,30
A R C,NGSRMS1,Bengaluru Sarige,24
A R C,NMG Jass,Bengaluru Sarige,33
A R C,PPSF,Bengaluru Sarige,33
A R C,PSS,Bengaluru Sarige,28
A R C,PTLTA,Bengaluru Sarige,30
A R C,RGPGT,Bengaluru Sarige,32
A R C,RJNP,Bengaluru Sarige,28
A R C,RLEGHI,Bengaluru Sarige,30
A R C,RMH,Bengaluru Sarige,23
A R C,RMPR31,Bengaluru Sarige,30
A R C,RVTH,Bengaluru Sarige,30
A R C,SBMN1,Bengaluru Sarige,35
A R C,SDVHLI,Bengaluru Sarige,30
A R C,SGC1,Bengaluru Sarige,28
A R C,SGHSPL,Bengaluru Sarige,28
A R C,SLDH,Bengaluru Sarige,28
A R C,SNDKPC4,Bengaluru Sarige,30
A R C,SNTNML,Bengaluru Sarige,30
A R C,SSN2,Bengaluru Sarige,18
A R C,STPLY1,Bengaluru Sarige,30
A R C,SVC1,Bengaluru Sarige,30
A R C,SVNPRC1,Bengaluru Sarige,30
A R C,TBD,Bengaluru Sarige,30
A R C,TBGR,Bengaluru Sarige,33
A R C,TBRH,Bengaluru Sarige,30
A R C,TCGP,Bengaluru Sarige,33
A R C,TGLC,Bengaluru Sarige,33
A R C,TGP1,Bengaluru Sarige,28
A R C,THV1,Bengaluru Sarige,30
A R C,TMG2,Bengaluru Sarige,35
A R C,TMLP,Bengaluru Sarige,30
A R C,TNGS,Bengaluru Sarige,30
A R C,TNSC,Bengaluru Sarige,30
A R C,TRBHC,Bengaluru Sarige,30
A R C,VNVVKD,Bengaluru Sarige,30
A R C,VPRA,Bengaluru Sarige,28
A R C,VPRAPOST,Bengaluru Sarige,28
A R C,VRP1B1,Bengaluru Sarige,28
A R C,VRP3B,Bengaluru Sarige,28
A R C,WDAS,Bengaluru Sarige,24
A R C,YHK,Bengaluru Sarige,30
A R C,YLKSTC,Bengaluru Sarige,30
A R C,YTTMC,Bengaluru Sarige,18
AAC,BHEL1,Bengaluru Sarige,23
AAC,BUAMB,Bengaluru Sarige,6
AAC,BULBR1,Bengaluru Sarige,12
AAC,BULH1,Bengaluru Sarige,12
AAC,HLL,Bengaluru Sarige,12
AAC,MNGHC1,Bengaluru Sarige,12
AAC,MNSLO,Bengaluru Sarige,6
AAC,MRMS,Bengaluru Sarige,23
AAC,MRSBS,Bengaluru Sarige,23
AAC,NBWSSB,Bengaluru Sarige,18
AAC,NGUDH,Bengaluru Sarige,23
AAC,PRSLO1,Bengaluru Sarige,6
AAC,RRJSWG,Bengaluru Sarige,18
AAC,SRSC,Bengaluru Sarige,23
AAC,TMSR,Bengaluru Sarige,23
AAC,UPKRLOC2,Bengaluru Sarige,12
AAC,VPS,Bengaluru Sarige,6
ABCLLG,ASWNGR,Bengaluru Sarige,12
ABCLLG,BKFT,Bengaluru Sarige,18
ABCLLG,BLHL,Bengaluru Sarige,23
ABCLLG,BLKDRC,Bengaluru Sarige,23
ABCLLG,BMBZ,Bengaluru Sarige,23
ABCLLG,CHLS,Bengaluru Sarige,24
ABCLLG,CKHL1,Bengaluru Sarige,23
ABCLLG,CNBTYR,Bengaluru Sarige,18
ABCLLG,COLPK,Bengaluru Sarige,18
ABCLLG,CSPURNDY,Bengaluru Sarige,23
ABCLLG,DDI1,Bengaluru Sarige,18
ABCLLG,DSH H,Bengaluru Sarige,18
ABCLLG,FLSF,Bengaluru Sarige,6
ABCLLG,GVPC,Bengaluru Sarige,6
ABCLLG,HSHS12,Bengaluru Sarige,24
ABCLLG,INDEX,Bengaluru Sarige,23
ABCLLG,JLIMC,Bengaluru Sarige,23
ABCLLG,JONGV,Bengaluru Sarige,12
ABCLLG,KDGH12,Bengaluru Sarige,6
ABCLLG,KFR,Bengaluru Sarige,23
ABCLLG,KGHLY,Bengaluru Sarige,6
ABCLLG,KNRU,Bengaluru Sarige,24
ABCLLG,KNYPCS,Bengaluru Sarige,18
ABCLLG,KRC5,Bengaluru Sarige,23
ABCLLG,MLMCLNY,Bengaluru Sarige,12
ABCLLG,MRNP,Bengaluru Sarige,12
ABCLLG,NGW,Bengaluru Sarige,6
ABCLLG,NRN,Bengaluru Sarige,23
ABCLLG,PRYN,Bengaluru Sarige,12
ABCLLG,PTC,Bengaluru Sarige,12
ABCLLG,PTRBK,Bengaluru Sarige,12
ABCLLG,RCNHLP,Bengaluru Sarige,18
ABCLLG,REVC,Bengaluru Sarige,24
ABCLLG,RKHGD,Bengaluru Sarige,18
ABCLLG,RLE,Bengaluru Sarige,18
ABCLLG,RVCLR,Bengaluru Sarige,24
ABCLLG,SPL,Bengaluru Sarige,12
ABCLLG,SRMP,Bengaluru Sarige,18
ABCLLG,SRMP1,Bengaluru Sarige,18
ABCLLG,SRYP,Bengaluru Sarige,12
ABCLLG,THRHC,Bengaluru Sarige,23
ABCLLG,TLBSD,Bengaluru Sarige,12
ABCLLG,TWNHG,Bengaluru Sarige,24
ABCLLG,VKPM,Bengaluru Sarige,12
ABCLLG,VRPLY,Bengaluru Sarige,12
ABCLLG,VSD8,Bengaluru Sarige,23
ABGR2,BSP,Bengaluru Sarige,28
ABGR2,BSP,Electric,28
ABGR2,GKL,Bengaluru Sarige,23
ABGR2,HBL BRI,Bengaluru Sarige,23
ABGR2,HBL BRI,Electric,23
ABGR2,HBR,Bengaluru Sarige,28
ABGR2,HBR,Electric,28
ABGR2,HNRJUNC,Bengaluru Sarige,28
ABGR2,HNRJUNC,Electric,28
ABGR2,HRMVS1,Bengaluru Sarige,28
ABGR2,HRMVS1,Electric,28
ABGR2,ITIC,Bengaluru Sarige,30
ABGR2,ITIC,Electric,30
ABGR2,ITIG,Bengaluru Sarige,30
ABGR2,ITIG,Electric,30
ABGR2,jnon,Bengaluru Sarige,24
ABGR2,jnon,Electric,24
ABGR2,KERGUD,Bengaluru Sarige,6
ABGR2,KERGUD,Electric,6
ABGR2,KLNGR1,Bengaluru Sarige,28
ABGR2,KLNGR1,Electric,28
ABGR2,KMPU,Bengaluru Sarige,24
ABGR2,KMPU,Electric,24
ABGR2,KRMRK,Bengaluru Sarige,30
ABGR2,KRPG,Bengaluru Sarige,30
ABGR2,KRPG,Electric,30
ABGR2,LNKRD,Bengaluru Sarige,24
ABGR2,MHC,Bengaluru Sarige,28
ABGR2,MLM13th,Bengaluru Sarige,24
ABGR2,MYBP,Bengaluru Sarige,24
ABGR2,MYBP,Electric,24
ABGR2,RMNALDM,Bengaluru Sarige,30
ABGR2,RMNALDM,Electric,30
ABGR2,RMNB,Bengaluru Sarige,28
ABGR2,RMNB,Electric,28
ABGR2,RMNCHR,Bengaluru Sarige,30
ABGR2,RMNCHR,Electric,30
ABGR2,RMPMAP,Bengaluru Sarige,30
ABGR2,RMPMAP,Electric,30
ABGR2,RMPS1,Bengaluru Sarige,30
ABGR2,RMPS1,Electric,30
ABGR2,STMH,Bengaluru Sarige,28
ABGR2,VEPL,Bengaluru Sarige,24
ABGR2,VEPL,Electric,24
ABGR2,VJBC1,Bengaluru Sarige,28
ABGR2,VJBC1,Electric,28
ABGR2,YYPLY,Bengaluru Sarige,30
ABGR2,YYPLY,Electric,30
ABKR,ATL1,Bengaluru Sarige,30
ABKR,ATL1,Electric,30
ABKR,BETHLI,Bengaluru Sarige,30
ABKR,BETHLI,Electric,30
ABKR,CHKBC,Bengaluru Sarige,32
ABKR,CHKBC,Electric,32
ABKR,CHKHLY,Bengaluru Sarige,30
ABKR,CHKHLY,Electric,30
ABKR,CNB,Bengaluru Sarige,30
ABKR,CNB,Electric,30
ABKR,DGAPTL,Bengaluru Sarige,30
ABKR,DGAPTL,Electric,30
ABKR,DODBM,Bengaluru Sarige,30
ABKR,DODBM,Electric,30
ABKR,GKL,Bengaluru Sarige,30
ABKR,GKL,Electric,30
ABKR,GVTSF1,Bengaluru Sarige,30
ABKR,GVTSF1,Electric,30
ABKR,ISKcON,Bengaluru Sarige,30
ABKR,ISKcON,Electric,30
ABKR,MDYK,Bengaluru Sarige,30
ABKR,MDYK,Electric,30
ABKR,MGDRT9,Bengaluru Sarige,28
ABKR,MGDRT9,Electric,28
ABKR,MGLY,Bengaluru Sarige,30
ABKR,MGLY,Electric,30
ABKR,MNJURC,Bengaluru Sarige,28
ABKR,MNJURC,Electric,28
ABKR,MNVA,Bengaluru Sarige,28
ABKR,MNVA,Electric,28
ABKR,PTGRJC,Bengaluru Sarige,23
ABKR,PTGRJC,Electric,23
ABKR,RAJDG,Bengaluru Sarige,28
ABKR,RAJDG,Electric,28
ABKR,RJ ESI,Bengaluru Sarige,28
ABKR,RJ ESI,Electric,28
ABKR,RJJNGR,Bengaluru Sarige,28
ABKR,RJJNGR,Electric,28
ABKR,RJN1B,Bengaluru Sarige,28
ABKR,RJN1B,Electric,28
ABKR,RJNAR,Bengaluru Sarige,28
ABKR,RJNAR,Electric,28
ABKR,RMSN,Bengaluru Sarige,28
ABKR,RMSN,Electric,28
ABKR,SVHTL,Bengaluru Sarige,32
ABKR,SVHTL,Electric,32
ABKR,TMLDC,Bengaluru Sarige,30
ABKR,TMLDC,Electric,30
ABKR,YST,Bengaluru Sarige,30
ABKR,YST,Electric,30
ABKR,YTTMC,Bengaluru Sarige,30
ABKR,YTTMC,Electric,30
ABMS,BMSA,Bengaluru Sarige,28
ABMS,BTLCLG,Bengaluru Sarige,24
ABMS,CPR0,Bengaluru Sarige,24
ABMS,CRPN,Bengaluru Sarige,30
ABMS,ELC,Bengaluru Sarige,28
ABMS,HBGDI1,Bengaluru Sarige,28
ABMS,HENG,Bengaluru Sarige,24
ABMS,MDWL,Bengaluru Sarige,30
ABMS,MYBNK,Bengaluru Sarige,30
ABMS,PLVT,Bengaluru Sarige,30
ABMS,SFSCH,Bengaluru Sarige,28
ABMS,SNTTMC1,Bengaluru Sarige,30
ABMS,WG12C,Bengaluru Sarige,30
ACRIT,ALRCR1,Bengaluru Sarige,6
ACRIT,BGLG,Bengaluru Sarige,18
ACRIT,BNML1,Bengaluru Sarige,18
ACRIT,TDSH,Bengaluru Sarige,23
ACRIT,WDAS,Bengaluru Sarige,23
ACTNG1,ACRIT,Bengaluru Sarige,6
ACTNG1,ALRCR1,Bengaluru Sarige,12
ACTNG1,BGLG,Bengaluru Sarige,18
ACTNG1,BNML1,Bengaluru Sarige,18
ACTNG1,TDSH,Bengaluru Sarige,23
ACTNG1,WDAS,Bengaluru Sarige,23
ADGD2,ADGDPS1,Bengaluru Sarige,6
ADGD2,ATB0,Bengaluru Sarige,30
ADGD2,BMH2,Bengaluru Sarige,23
ADGD2,CHNDPR,Bengaluru Sarige,30
ADGD2,CPR,Bengaluru Sarige,30
ADGD2,ENGF,Bengaluru Sarige,6
ADGD2,Frm1,Bengaluru Sarige,6
ADGD2,GBPLYA,Bengaluru Sarige,23
ADGD2,GDHTGT,Bengaluru Sarige,30
ADGD2,GSTL,Bengaluru Sarige,30
ADGD2,HOSRD,Bengaluru Sarige,24
ADGD2,JNSNM,Bengaluru Sarige,6
ADGD2,JTNVCR1,Bengaluru Sarige,6
ADGD2,KDG,Bengaluru Sarige,23
ADGD2,KKMP,Bengaluru Sarige,6
ADGD2,KNPA,Bengaluru Sarige,28
ADGD2,KRM1B,Bengaluru Sarige,23
ADGD2,KRMBDAC1,Bengaluru Sarige,18
ADGD2,KRMCB1,Bengaluru Sarige,18
ADGD2,KRMDTMC,Bengaluru Sarige,12
ADGD2,KRMPS3,Bengaluru Sarige,12
ADGD2,LGHM,Bengaluru Sarige,18
ADGD2,LKS,Bengaluru Sarige,12
ADGD2,MCSGL3,Bengaluru Sarige,6
ADGD2,MICO1,Bengaluru Sarige,6
ADGD2,NMH,Bengaluru Sarige,12
ADGD2,NRLG,Bengaluru Sarige,30
ADGD2,OPRBT,Bengaluru Sarige,12
ADGD2,PESIT,Bengaluru Sarige,28
ADGD2,RPNA,Bengaluru Sarige,23
ADGD2,SFC,Bengaluru Sarige,18
ADGD2,SJNDHOP,Bengaluru Sarige,18
ADGD2,SLOCR2,Bengaluru Sarige,12
ADGD2,SSNDRA,Bengaluru Sarige,24
ADGD2,TRMGH,Bengaluru Sarige,30
ADGD2,VRSND,Bengaluru Sarige,28
ADGD2,WG7,Bengaluru Sarige,12
ADGD2,YDHL,Bengaluru Sarige,30
ADGDPS1,ADGD2,Bengaluru Sarige,6
ADGDPS1,ATB0,Bengaluru Sarige,30
ADGDPS1,BMH2,Bengaluru Sarige,23
ADGDPS1,CHNDPR,Bengaluru Sarige,30
ADGDPS1,CPR,Bengaluru Sarige,30
ADGDPS1,ENGF,Bengaluru Sarige,12
ADGDPS1,Frm1,Bengaluru Sarige,6
ADGDPS1,GBPLYA,Bengaluru Sarige,23
ADGDPS1,GDHTGT,Bengaluru Sarige,30
ADGDPS1,GSTL,Bengaluru Sarige,30
ADGDPS1,HOSRD,Bengaluru Sarige,24
ADGDPS1,JNSNM,Bengaluru Sarige,12
ADGDPS1,JTNVCR1,Bengaluru Sarige,6
ADGDPS1,KDG,Bengaluru Sarige,23
ADGDPS1,KKMP,Bengaluru Sarige,6
ADGDPS1,KNPA,Bengaluru Sarige,28
ADGDPS1,KRM1B,Bengaluru Sarige,23
ADGDPS1,KRMBDAC1,Bengaluru Sarige,18
ADGDPS1,KRMCB1,Bengaluru Sarige,18
ADGDPS1,KRMDTMC,Bengaluru Sarige,12
ADGDPS1,KRMPS3,Bengaluru Sarige,12
ADGDPS1,LGHM,Bengaluru Sarige,23
ADGDPS1,LKS,Bengaluru Sarige,18
ADGDPS1,MCSGL3,Bengaluru Sarige,12
ADGDPS1,MICO1,Bengaluru Sarige,12
ADGDPS1,NMH,Bengaluru Sarige,18
ADGDPS1,NRLG,Bengaluru Sarige,30
ADGDPS1,OPRBT,Bengaluru Sarige,18
ADGDPS1,PESIT,Bengaluru Sarige,28
ADGDPS1,RPNA,Bengaluru Sarige,23
ADGDPS1,SFC,Bengaluru Sarige,18
ADGDPS1,SJNDHOP,Bengaluru Sarige,23
ADGDPS1,SLOCR2,Bengaluru Sarige,18
ADGDPS1,SSNDRA,Bengaluru Sarige,24
ADGDPS1,TRMGH,Bengaluru Sarige,30
ADGDPS1,VRSND,Bengaluru Sarige,28
ADGDPS1,WG7,Bengaluru Sarige,18
ADGDPS1,YDHL,Bengaluru Sarige,30
ADGH1,AMRH1,Bengaluru Sarige,28
ADGH1,JKLCRS,Bengaluru Sarige,28
ADGH1,JKRAT,Bengaluru Sarige,28
ADGH1,JKRD5,Bengaluru Sarige,28
ADGHMRD,ADHG1,Bengaluru Sarige,23
ADGHMRD,APRLP,Bengaluru Sarige,29
ADGHMRD,BMWRGT,Bengaluru Sarige,35
ADGHMRD,BNKC,Bengaluru Sarige,28
ADGHMRD,BRSC,Bengaluru Sarige,35
ADGHMRD,BRSNRA,Bengaluru Sarige,35
ADGHMRD,DBPRS,Bengaluru Sarige,29
ADGHMRD,DRK1,Bengaluru Sarige,35
ADGHMRD,FCTC,Bengaluru Sarige,28
ADGHMRD,HSUDY,Bengaluru Sarige,28
ADGHMRD,KSBG,Bengaluru Sarige,29
ADGHMRD,LFD1,Bengaluru Sarige,33
ADGHMRD,MRSNDGS,Bengaluru Sarige,28
ADGHMRD,MSDC,Bengaluru Sarige,23
ADGHMRD,NERI1,Bengaluru Sarige,35
ADGHMRD,NERPY,Bengaluru Sarige,35
ADGHMRD,NGDH3,Bengaluru Sarige,35
ADGHMRD,NVDYS,Bengaluru Sarige,29
ADGHMRD,PRNGPR,Bengaluru Sarige,35
ADGHMRD,RGPR,Bengaluru Sarige,33
ADGHMRD,RLYG,Bengaluru Sarige,28
ADGHMRD,SHRC,Bengaluru Sarige,35
ADGHMRD,SKDCMGT,Bengaluru Sarige,35
ADGHMRD,SLRGT3,Bengaluru Sarige,35
ADGHMRD,SRDP1,Bengaluru Sarige,12
ADGHMRD,SRH,Bengaluru Sarige,6
ADGHMRD,VJPCR2,Bengaluru Sarige,35
ADGHMRD,VSTPR1,Bengaluru Sarige,35
ADH1,ANDHGS,Bengaluru Sarige,6
ADH1,ANDHGS,Electric,6
ADH1,ATTGP,Bengaluru Sarige,6
ADH1,ATTGP,Electric,6
ADH1,BSWC,Bengaluru Sarige,24
ADH1,BSWC,Electric,24
ADH1,BYSMC,Bengaluru Sarige,28
ADH1,BYSMC,Electric,28
ADH1,CBR1st,Bengaluru Sarige,24
ADH1,CBR1st,Electric,24
ADH1,CMT,Bengaluru Sarige,23
ADH1,CNTRL,Bengaluru Sarige,28
ADH1,DCH,Bengaluru Sarige,24
ADH1,DCH,Electric,24
ADH1,GGPL,Bengaluru Sarige,23
ADH1,GNPT,Bengaluru Sarige,24
ADH1,GNPT,Electric,24
ADH1,GRDPC,Bengaluru Sarige,6
ADH1,GRDPC,Electric,6
ADH1,JHC4,Bengaluru Sarige,18
ADH1,KBS1,Bengaluru Sarige,28
ADH1,KBS1,Electric,28
ADH1,KLKAT,Bengaluru Sarige,6
ADH1,KLKAT,Electric,6
ADH1,KRSNGR1,Bengaluru Sarige,23
ADH1,KRSNGR1,Electric,23
ADH1,KRVS,Bengaluru Sarige,23
ADH1,KRVS,Electric,23
ADH1,LGRC,Bengaluru Sarige,23
ADH1,LGRC,Electric,23
ADH1,MEI2,Bengaluru Sarige,23
ADH1,MLCPMETC,Bengaluru Sarige,24
ADH1,MLCPMETC,Electric,24
ADH1,MLM11C,Bengaluru Sarige,24
ADH1,MLM8,Bengaluru Sarige,28
ADH1,MLMC,Bengaluru Sarige,28
ADH1,NVRNG4,Bengaluru Sarige,24
ADH1,NVRNG4,Electric,24
ADH1,OKPRA,Bengaluru Sarige,28
ADH1,OKPRA,Electric,28
ADH1,PNY1,Bengaluru Sarige,23
ADH1,PSS,Bengaluru Sarige,6
ADH1,PSS,Electric,6
ADH1,RAJ2B,Bengaluru Sarige,24
ADH1,RAJ2B,Electric,24
ADH1,RJNESI,Bengaluru Sarige,24
ADH1,RJNESI,Electric,24
ADH1,RJRTI,Bengaluru Sarige,28
ADH1,RJRTI,Electric,28
ADH1,RMCY,Bengaluru Sarige,23
ADH1,RMJT,Bengaluru Sarige,23
ADH1,RMJT,Electric,23
ADH1,SJT1,Bengaluru Sarige,28
ADH1,SJT1,Electric,28
ADH1,SNKR2,Bengaluru Sarige,23
ADH1,SNKR2,Electric,23
ADH1,SNLG,Bengaluru Sarige,23
ADH1,SNLG,Electric,23
ADH1,SRNVT,Bengaluru Sarige,24
ADH1,SRNVT,Electric,24
ADH1,SRS,Bengaluru Sarige,23
ADH1,TGP1,Bengaluru Sarige,6
ADH1,TGP1,Electric,6
ADH1,TTI1,Bengaluru Sarige,24
ADHCR,AVRHLC1,Bengaluru Sarige,12
ADHCR,CNTRL,Bengaluru Sarige,30
ADHCR,KBS1,Bengaluru Sarige,30
ADHCR,KNGHL,Bengaluru Sarige,12
ADHCR,MLM11C,Bengaluru Sarige,28
ADHCR,MLM8,Bengaluru Sarige,30
ADHCR,MLMC,Bengaluru Sarige,30
ADHCR,RVTH,Bengaluru Sarige,18
ADHG1,BMWRGT,Bengaluru Sarige,30
ADHG1,BRSC,Bengaluru Sarige,28
ADHG1,BRSNRA,Bengaluru Sarige,30
ADHG1,DRK1,Bengaluru Sarige,30
ADHG1,JKR,Bengaluru Sarige,30
ADHG1,LFD1,Bengaluru Sarige,24
ADHG1,NERI1,Bengaluru Sarige,30
ADHG1,NERPY,Bengaluru Sarige,30
ADHG1,NGDH3,Bengaluru Sarige,28
ADHG1,NGNH,Bengaluru Sarige,23
ADHG1,PRNGPR,Bengaluru Sarige,30
ADHG1,PTNHL,Bengaluru Sarige,24
ADHG1,RGPR,Bengaluru Sarige,28
ADHG1,SHRC,Bengaluru Sarige,30
ADHG1,SKDCMGT,Bengaluru Sarige,30
ADHG1,SLRGT3,Bengaluru Sarige,30
ADHG1,VJPCR2,Bengaluru Sarige,30
ADHG1,VSTPR1,Bengaluru Sarige,30
ADMHC1,ADMHC1,Bengaluru Sarige,5
ADMHC1,AGHRD,Bengaluru Sarige,30
ADMHC1,AJN7,Bengaluru Sarige,30
ADMHC1,BCNHT,Bengaluru Sarige,5
ADMHC1,BDH2,Bengaluru Sarige,30
ADMHC1,BNIPT,Bengaluru Sarige,32
ADMHC1,BNYML,Bengaluru Sarige,32
ADMHC1,BSKR,Bengaluru Sarige,35
ADMHC1,CC,Bengaluru Sarige,30
ADMHC1,CDP,Bengaluru Sarige,28
ADMHC1,CHNH,Bengaluru Sarige,24
ADMHC1,CKGLH1,Bengaluru Sarige,30
ADMHC1,CNHA,Bengaluru Sarige,30
ADMHC1,CNNHL,Bengaluru Sarige,30
ADMHC1,CRYNHL,Bengaluru Sarige,20
ADMHC1,DDPH,Bengaluru Sarige,5
ADMHC1,DVM,Bengaluru Sarige,28
ADMHC1,EWCC9,Bengaluru Sarige,30
ADMHC1,FRSTG1,Bengaluru Sarige,30
ADMHC1,GGPH,Bengaluru Sarige,23
ADMHC1,GLH7,Bengaluru Sarige,30
ADMHC1,HMLMK,Bengaluru Sarige,15
ADMHC1,HMSF1,Bengaluru Sarige,30
ADMHC1,HNGNH,Bengaluru Sarige,30
ADMHC1,HNSM,Bengaluru Sarige,32
ADMHC1,HRHC1,Bengaluru Sarige,30
ADMHC1,HSG,Bengaluru Sarige,15
ADMHC1,JGHC,Bengaluru Sarige,28
ADMHC1,JPTSP,Bengaluru Sarige,30
ADMHC1,JTPR,Bengaluru Sarige,10
ADMHC1,JYTNR,Bengaluru Sarige,20
ADMHC1,KCHG1,Bengaluru Sarige,30
ADMHC1,KDGC,Bengaluru Sarige,30
ADMHC1,KHB,Bengaluru Sarige,30
ADMHC1,KLR7,Bengaluru Sarige,30
ADMHC1,KLYG,Bengaluru Sarige,20
ADMHC1,KLYMR,Bengaluru Sarige,20
ADMHC1,KMKPL,Bengaluru Sarige,30
